id,intitule,description,typeContrat,lieuTravail,dateCreation,dureeTravailLibelle,salaire
6453930,Gestionnaire paie (H/F),"Description du poste :
Notre client, cabinet d'expertise comptable recherche dans le cadre de son développement un Gestionnaire de paie dans l'optique d'une intégration en CDI.
A ce poste, vos principales missions seront :
- Établissement des paies et déclarations sociales,
- Suivi administratif relatif à la gestion du personnel,
- De l'entrée à la sortie du salarié (DPAE, contrat travail, avenant, attestations, solde de tout compte...)
Utilisation du logiciel SILAE.
Le poste peut être susceptible d'être modifié en fonction de l'expérience du candidat ! N'hésitez pas pour postuler
Possibilité de télétravail
Description du profil :
Vous êtes motivé(e), et vous avez déjà une première expérience professionnelle en cabinet comptable.
Vous disposez d'un titre de Gestionnaire de Paie ou d'une formation Paie/RH.
Sinon, de formation Bac+2 à Bac+5 dans le domaine de la comptabilité (BTS CGO, DCG, DSCG, Master CCA) votre profil nous intéresse.
INDSP",CDI,07 - AUBENAS,2025-05-08T16:41:50.000Z,,"Annuel de 25000,00 Euros à 40000,00 Euros"
6453866,Responsable qualité en industrie (H/F),"Description du poste :
Manpower Life Science, cabinet spécialisé dans le recrutement pour les industries de la Santé, accompagne ses clients dans leurs projets de recrutement stratégique et de développement.
Le client
Nous recrutons, pour le compte d'une entreprise spécialisée dans la conception et la fabrication de dispositifs médicaux stériles, un(e) Responsable Assurance Qualité Développement (H/F).
- Participation à la conception des projets :
- Veiller au respect des exigences réglementaires et normatives.
- Appliquer les processus qualité (change control, autorisation de fabrication, rationnels de libération, etc.).
- Interlocuteur qualité des clients pour les produits en développement :
- Assurer le suivi des exigences et échanges qualité.
- Contribution à l'amélioration continue :
- Travailler avec le service Développement pour optimiser les processus qualité.
- Organisation et développement de l'activité :
- Intégrer les exigences qualité dès la conception des projets.
- Préparer les inspections PAI et garantir la conformité des validations (VMP).
- Gérer anomalies et déviations des produits en développement.
- Superviser la fabrication des lots pour les essais cliniques.
- Communication et gestion de l'information :
- Relayer les informations qualité aux clients.
- Participer aux échanges avec les clients et suivre les indicateurs qualité.
- Garantie de la qualité et sécurité des opérations :
- Assurer la cohérence des dossiers MBR avec les exigences réglementaires.
- Optimiser les procédures du service Développement.
?
- Démarche d'amélioration continue :
- Analyser les dysfonctionnements et définir des actions correctives.
- Suivre l'avancement des CAPAs.
Expérience :
- Minimum 4 ans d'expérience en assurance qualité opérationnelle ou production sein de l'industrie pharmaceutique.
- Maîtrise des réglementations et des exigences liées à la production de produits stériles.
- Compétence en gestion de projets et capacité à travailler dans un contexte international.
- Maîtrise de l'anglais indispensable : capacité à échanger (oral et écrit) avec des clients internationaux.
Avantages
- Rémunération : 50-55k€ selon profil.
- Télétravail : 1j par semaine.
- Entre 11 et 14 jours de RTT selon les années.
- Tickets restaurant ou restaurant d'entreprise.
Intéressé(e) ? N'hésitez pas nous envoyer votre candidature.
Dans le cadre de sa politique diversité, Manpower étudie, à compétences égales, toutes candidatures dont celles de personnes en situation de handicap",CDI,07 - ANNONAY,2025-05-08T16:41:34.000Z,,"Annuel de 50000,00 Euros à 55000,00 Euros"
6451291,Ingénieur maintenance/travaux neufs (H/F),"Description du poste :
En tant que Technicien de Maintenance, vous êtes amené à travailler sur les missions suivantes :***Assurer les opérations de maintenance curative et préventives,
* Assurer les demandes d'approvisionnement des pièces détachés et des équipements nécessaires au service maintenance pour intervenir dans les meilleures conditions,
* Assurer les échanges quotidiens avec les opérateurs de production,
* Remonter les informations et besoins au Responsable Maintenance, et rendre compte des opérations et problématiques rencontrées,
* Être force de proposition sur les besoins en amélioration du matériel et des investissements à prévoir,
* Respecter les règles de sécurité, de qualité, d'énergie et de l'environnement.
Horaires : Plusieurs postes sont à pourvoir en 3*8 ou 5*8 ou 2*8 ou 2*12.***Salaire suivant expérience sur 12 mois,
* Primes annuelles + prime équipe + prime assiduité,
* Participation.
Description du profil :
De formation BTS de type Maintenance, vous justifiez d'au moins une expérience dans le domaine industriel.
Si vous ne répondez pas à l'ensemble de ces critères, n'hésitez pas néanmoins à nous transmettre votre candidature. Elle sera étudiée en toute confidentialité.",CDI,07 - ANNONAY,2025-05-08T15:50:52.000Z,,"Annuel de 32000,00 Euros à 38000,00 Euros"
6443493,Qualiticien / Qualiticienne management de la qualité en industrie (H/F),"Description du poste :
Souhaitez-vous exercer un rôle central en tant que Technicien qualité (F/H) dans notre établissement?
Vous serez responsable de garantir la conformité et l'amélioration continue des processus QHSEE au sein de notre établissement.
- Suivre et mettre à jour les indicateurs QHSEE
- Planifier et réaliser des audits internes, des analyses de risques et d'accidents de travail
- Rédiger et mettre à jour les procédures QHSEE
- Réaliser les contrôles laboratoires des réceptions produits/matières premières et des non-conformités
- Former, animer et sensibiliser le personnel sur tous les points QHSEE
- Accompagner l'entreprise dans les certifications et les labels métiers
Découvrez ce package attractif :
- Contrat: CDI
Description du profil :
Technicien qualité (F/H) : Vous êtes diplômé d'un BAC+2 dans les métiers QHSE, vous utilisez avec aisance les outils informatiques (bureautique-internet-outils de résolution de problème ...) et disposez d'au moins 3 ans d'expérience dans le suivi et la mise à jour des indicateurs QHSEE, ainsi qu'une connaissance approfondie des normes ISO.
La connaissance des normes ISO 9001, 14001, 45001, 50001 et des labels ISO 22716, OFG, FSC/PEFC, ECOLABEL est un plus pour ce poste.
Processus de recrutement
Vous cherchez un job ? Nous sommes là pour vous aider. Postulez en un clic et notre consultant(e) vous contactera pour valider votre candidature.",CDI,07 - DAVEZIEUX,2025-05-08T14:33:42.000Z,,"Annuel de 24000,00 Euros à 30000,00 Euros"
6437598,Gestionnaire paie (H/F),"Description du poste :
MY PREMIUM CONSULTING, cabinet de recrutement indépendant, recherche pour l'un de ses clients, un profil Gestionnaire de Paie en Cabinet d'Expertise-Comptable H/F .
Sous la responsabilité de la Responsable du pôle social, vos missions seront les suivantes :
-La gestion d'un portefeuille clients (multi-conventions)
-Les déclarations et charges sociales
-L'établissement des bulletins de paie et des documents de fin de contrat
-Les documents juridiques (rupture conventionnel, contrat de travail)
Ce poste vous intéresse
Alors n'hésitez pas à me transmettre votre CV à jour !
Description du profil :
Vous êtes motivé(e), et vous avez déjà une première expérience professionnelle en cabinet comptable.
Vous disposez d'un titre de Gestionnaire de Paie ou d'une formation Paie/RH.
Sinon, de formation Bac+2 à Bac+5 dans le domaine de la comptabilité (BTS CGO, DCG, DSCG, Master CCA) votre profil nous intéresse.",CDI,07 - GUILHERAND GRANGES,2025-05-08T13:09:54.000Z,,"Annuel de 25000,00 Euros à 40000,00 Euros"
6437146,Gestionnaire paie (H/F),"Description du poste :
MY PREMIUM CONSULTING, cabinet de recrutement indépendant, recherche pour l'un de ses clients, un profil Gestionnaire de Paie en Cabinet d'Expertise-Comptable H/F .
Sous la responsabilité de la Responsable du pôle social, vos missions seront les suivantes :
-La gestion d'un portefeuille clients (multi-conventions)
-Les déclarations et charges sociales
-L'établissement des bulletins de paie et des documents de fin de contrat
-Les documents juridiques (rupture conventionnel, contrat de travail)
Ce poste vous intéresse
Alors n'hésitez pas à me transmettre votre CV à jour !
Description du profil :
Vous êtes motivé(e), et vous avez déjà une première expérience professionnelle en cabinet comptable.
Vous disposez d'un titre de Gestionnaire de Paie ou d'une formation Paie/RH.
Sinon, de formation Bac+2 à Bac+5 dans le domaine de la comptabilité (BTS CGO, DCG, DSCG, Master CCA) votre profil nous intéresse.",CDI,07 - TOURNON SUR RHONE,2025-05-08T13:08:30.000Z,,"Annuel de 25000,00 Euros à 40000,00 Euros"
6436739,Gestionnaire paie (H/F),"Description du poste :
MY PREMIUM CONSULTING, cabinet de recrutement indépendant, recherche pour l'un de ses clients, un profil Gestionnaire de Paie en Cabinet d'Expertise-Comptable H/F .
Sous la responsabilité de la Responsable du pôle social, vos missions seront les suivantes :
-La gestion d'un portefeuille clients (multi-conventions)
-Les déclarations et charges sociales
-L'établissement des bulletins de paie et des documents de fin de contrat
-Les documents juridiques (rupture conventionnel, contrat de travail)
Ce poste vous intéresse
Alors n'hésitez pas à me transmettre votre CV à jour !
Description du profil :
Vous êtes motivé(e), et vous avez déjà une première expérience professionnelle en cabinet comptable.
Vous disposez d'un titre de Gestionnaire de Paie ou d'une formation Paie/RH.
Sinon, de formation Bac+2 à Bac+5 dans le domaine de la comptabilité (BTS CGO, DCG, DSCG, Master CCA) votre profil nous intéresse.",CDI,07 - AUBENAS,2025-05-08T13:07:12.000Z,,"Annuel de 25000,00 Euros à 40000,00 Euros"
6436540,Gestionnaire paie (H/F),"Description du poste :
MY PREMIUM CONSULTING, cabinet de recrutement indépendant, recherche pour l'un de ses clients, un profil Gestionnaire de Paie en Cabinet d'Expertise-Comptable H/F .
Sous la responsabilité de la Responsable du pôle social, vos missions seront les suivantes :
-La gestion d'un portefeuille clients (multi-conventions)
-Les déclarations et charges sociales
-L'établissement des bulletins de paie et des documents de fin de contrat
-Les documents juridiques (rupture conventionnel, contrat de travail)
Ce poste vous intéresse
Alors n'hésitez pas à me transmettre votre CV à jour !
Description du profil :
Vous êtes motivé(e), et vous avez déjà une première expérience professionnelle en cabinet comptable.
Vous disposez d'un titre de Gestionnaire de Paie ou d'une formation Paie/RH.
Sinon, de formation Bac+2 à Bac+5 dans le domaine de la comptabilité (BTS CGO, DCG, DSCG, Master CCA) votre profil nous intéresse.",CDI,07 - ANNONAY,2025-05-08T13:06:30.000Z,,"Annuel de 25000,00 Euros à 40000,00 Euros"
6433787,Chirurgien-dentiste / Chirurgienne-dentiste (H/F),"REJOIGNEZ NOS226 PRATICIENS ET PRATICIENNES
Exercer dans un centre dentaire AÉSIO Santé, c'est la garantie de :Des salles de soins modernes et lumineuses équipées des dernières technologies (empreinte numérique, 3D Cone Beam, dispositif d'autohypnose, moteur endo...)
Une équipe à l'écoute et bienveillante qui vous soulage de l'administratif et vous accompagne dans votre pratique
Une liberté des plans de traitement tout en pouvant solliciter des confrères expérimentés
Une patientèle fidèle
Une organisation en toute autonomie vacations de 2 à 4 jours, gestion libre des agendas
NOUS RECRUTONS en Ardèche (Aubenas) - Drôme (Valence, Montélimar) - Gard (Les Angles) -Hérault (Montpellier, Lunel) - Loire (St-Etienne, Montbrison, Feurs) - Haute-Loire (Monistrol-sur-Loire,Le Puy-en-Velay) - Puy-de-Dôme (Clermont-Ferrand, Volvic, Malauzat) - Pyrénées-Orientales(Perpignan) - Vaucluse (Carpentras, Avignon, Cavaillon, Le Pontet).",CDI,07 - AUBENAS,2025-05-08T11:59:45.000Z,,
6432907,Réceptionnaire atelier mécanique H/F,"À propos de nous
TOURNON AUTOMOBILE POZIN
Le GARAGE TOURNON AUTOMOBILE POZIN, agence Renault, recherche un réceptionnaire atelier mécanique en CDI.
Vos missions principales : encadrement de 5 personnes/ affectation, suivi et contrôle des activités confiées aux mécaniciens/travaux administratifs (devis/gestion des garanties)/service après-vente/commande de pièces/réalisation occasionnelle de travaux sur les véhicules/conseils service après-vente/relations avec le client
39 heures hebdomadaire
CAP/BEP ou équivalent mécanique exigé
Expérience souhaitée de 3 à 5 ans minimum
Salaire selon compétences+13 ème mois
Type d'emploi : CDI
Rémunération : 2 500,00€ à 3 000,00€ par mois
Horaires :
* Travail en journée
Rémunération supplémentaire :
* 13ème Mois
Lieu du poste : En présentiel
Date de début prévue : 01/06/2025",CDI,07 - ST THOME,2025-05-08T11:56:45.000Z,,
6423444,Poseur Canalisateur - Activité Nucléaire H/F,"Nous recrutons pour notre activité Nucléaire des Poseurs-Canalisateurs H/F.
Rattaché(e) à la CNPE de Triscastin à Cruas (07) et sous la responsabilité du Chef de Chantier, vous réalisez la pose de canalisations et accessoires (regards, branchements) pour les réseaux humides et secs.
  
 Niveau BEP / CAP en construction de canalisations, ou travaux publics, vous disposez d'une expérience significative dans la fonction. Vous possédez le permis B. Votre capacité à travailler en équipe et en toute sécurité seront des atouts indispensables pour mener à bien votre mission.",CDI,07 - CRUAS,2025-05-08T09:52:34.000Z,,
6417111,TECHNICIEN DE MAINTENANCE (H/F),"Aprojob, société régionale d'intérim et de recrutements, vous accompagne depuis 2005 au travers d'un cadre de proximité et via des services optimisés. Avec des interlocuteurs spécialisés par métier Aprojob accompagne TPEs, PMEs et grands groupes au travers de ses formats de travail temporaire et prestations de recrutement CDD/CDI. 

        Notre société APROJOB recherche un Technicien de Maintenance de Nuit (H/F) pour rejoindre une équipe à Annonay. Vous serez en charge de garantir le bon fonctionnement des équipements et machines durant les horaires nocturnes, contribuant ainsi à la continuité et à la qualité de notre production.

Missions principales :
Maintenance préventive et corrective des machines de production.
Diagnostic et dépannage des pannes techniques.
Installation et réglage des nouveaux équipements.
Suivi des performances des équipements et proposition d'améliorations.
Respect des consignes de sécurité et des normes en vigueur.
Collaboration avec les équipes de jour pour assurer une transition fluide des opérations.
Poste en équipe de nuit UNIQUEMENT 
  
 ous êtes titulaire d'un Bac Pro à Bac+2 en Maintenance Industrielle, Électrotechnique, ou équivalent.
Vous justifiez d'une expérience significative sur un poste similaire en environnement industriel.
Compétences en électricité, automatisme, mécanique, pneumatique, et hydraulique.
Rigueur, autonomie, et réactivité face aux situations d'urgence.
Disponibilité pour travailler de nuit exclusivement.",CDI,07 - ANNONAY,2025-05-08T08:44:46.000Z,,"Horaire de 12,00 Euros à 21,00 Euros"
6373355,Gestionnaire de Paie (H/F),"Vos missions principales :

En collaboration directe avec l'Expert-Comptable et les Associés :

 * Vous gérez un portefeuille clients multi-conventions de A à Z 
 * Vous établissez les bulletins de paie et les déclarations sociales dans les délais impartis
 * Vous assurez la gestion administrative du personnel : entrées/sorties, contrats de travail, DPAE, ruptures, attestations...
 * Vous conseillez les clients sur les obligations légales, conventionnelles et réglementaires en matière de paie et de droit du travail
 * Vous suivez l'évolution de la législation sociale et appliquez les mises à jour nécessaires
 * Vous travaillez en lien étroit avec les autres pôles du cabinet (comptabilité, juridique.) dans un esprit d'équipe et de coopération

 Votre profil :

 * Formation Bac +2/3 en paie, RH ou droit social
 * Expérience confirmée en cabinet d'expertise comptable sur un poste similaire
 * Vous maîtrisez un logiciel de paie (Silae est un plus) et vous êtes à l'aise avec les conventions collectives
 * Rigueur, autonomie, sens du service client et bon relationnel sont vos meilleurs alliés au quotidien

¿ Ce que le cabinet vous offre :

 * CDI à pourvoir dès que possible
 * Rémunération motivante, à négocier selon votre expérience
 * Possibilité de télétravail partiel selon votre autonomie
 * Ambiance conviviale, management bienveillant et locaux agréables

 Vous souhaitez évoluer dans un environnement stimulant, entouré(e) de collègues soudés et de clients variés ?
 Envoyez-nous votre CV dès aujourd'hui et venez rencontrer une équipe qui a le sourire !
Retrouvez plus d'offres sur notre site www.kolibriconsulting.com et suivez nous aussi sur les réseaux sociaux !",CDI,07 - AUBENAS,2025-05-07T17:15:08.000Z,,"Annuel de 30000,00 Euros à 35000,00 Euros"
6369308,E.Leclerc - RESPONSABLE ESPACE CULTUREL - H/F,"DESCRIPTIF DE L'OFFRE

Sous l'autorité du directeur et en collaboration avec celui-ci le titulaire du poste est chargé d'appliquer et de faire appliquer la politique commerciale définie par l'enseigne. Vous assurez l'analyse des études de marché, les implantations de rayons, les actions de promotions.

Vous intervenez sur le rayon des livres et des nouvelles technologies du magasin (accessoires - téléphonie - informatique - TV Hifi Vidéo).

Vous rendez compte de vos résultats en termes de CA, de marges et de stocks.

Vous animez votre équipe dans un souci permanent d'efficacité et de sens du commerce et veillez au bon climat social au sein du personnel sous votre responsabilité.

Vous veillez à la qualité et au dynamisme du service rendu à notre clientèle dans le respect des normes et de la règlementation en vigueur.

Vous êtes garant d'une bonne ambiance de travail au sein de votre équipe dans une relation centrée-client.

Vous gérez le stock (commandes, inventaire, retour des invendus,...). Vous vous tenez informé(e) des parutions à venir et des nouveautés.

Vous avez un rôle fondamental d'accueil et de conseil vis-à-vis de la clientèle. Vous organisez régulièrement des animations (vitrines thématiques, rencontre avec des auteurs, ...). 
 
Dynamique, autonome et réactif, vous démontrez votre professionnalisme par un excellent sens du commerce et une rapide adaptation aux évolutions du marché.

Organisé, vous êtes le garant de la bonne tenue de votre espace/rayon (accueil client, circulation, information produits, propreté...).


PROFIL RECHERCHÉ

De formation Bac à Bac + 2 (libraire/métiers du livre/commerciale/gestion), vous êtes fort de plusieurs années d'expérience dans ce domaine, et notamment en grande distribution.

Vous êtes rigoureux, motivé et faites preuve d'initiative.

Vous avez une bonne culture générale et un intérêt constant pour l'actualité du livre et les nouvelles technologies vous permettant de sélectionner les produits de manière pertinente.

Salaire selon profil et expérience.

Rejoignez-nous en postulant via ce portail recrutement ! ",CDI,07 - AUBENAS,2025-05-07T16:20:42.000Z,,
6364438,Opérateur Régleur (H/F),"Le Groupe Adwork's est un groupe de travail temporaire en France constitué d'agences généralistes, au service des candidats à la recherche d'un emploi et des entreprises à la recherche de personnel.

Notre réseau d'agences de recrutement à taille humaine est constitué de collaborateurs permanents, spécialistes du recrutement et des métiers de l'intérim dans de nombreux domaines (BTP, tertiaire, industrie, agroalimentaire, transport et logistique...). 

        Votre agence ADWORK'S de Montélimar est à la recherche d'un opérateur régleur pour l'un de ses clients.
Au sein d'une industrie en cartonnerie, vous occuperez le poste d'Opérateur Régleur (H/F). Vous aurez pour mission de monter ou démonter les outillages et les moules adéquats sur chaque machine et de régler les machines en suivant des paramètres spécifiques et ajuster les réglages. Vous devrez également assurer des contrôles fréquents pour prévenir les problèmes et intervenir en cas de panne. Vous travaillerez en horaire 2*8, les semaines du matin 4h-12 et d'après-midi du lundi au jeudi 12h-20h30 et le vendredi 12h-18h. Mission sur une longue durée !
  
 Vous disposez d'une expérience réussie dans le domaine industriel et vous avez déjà opéré sur ces machines.
Vous avez l'esprit d'équipe et un excellent relationnel.

Nous attendons votre cv sans plus tarder, c'est à vous !",CDI,07 - LE TEIL,2025-05-07T15:04:26.000Z,,"Horaire de 11,88 Euros à 12,00 Euros"
6360461,Grillardin H/F - CDI,"En quelques motsEnvie de perfectionner l'art de la grillade ? Chez nous, le
talent se forme et s'affine. En tant que grillardin, vous êtes l'âme de la
cuisine, garantissant des cuissons parfaites et des plats qui font saliver.
Avec le chef grillardin à vos côtés, vous apprendrez à sublimer chaque pièce de
viande tout en respectant les normes d'hygiène et de sécurité.""Chez Buffalo Grill, découvrez des métiers où le
plaisir de servir se conjugue avec un soutien continu, à chaque étape de votre
parcours.""Vos missions",CDI,07 - AUBENAS,2025-05-07T12:11:11.000Z,,
6355667,Responsable Atelier Production (H/F),"Cabéo RH est un cabinet de recrutement multi-spécialiste basé à Rennes et Lyon.
Nous mettons en relation des candidats cadres et non-cadres (bac+2 à bac+5) avec des entreprises qui recrutent en France.
Le poste : 

Rattaché(e) au Responsable Production du site, vous assurez la planification et la coordination de l'activité des équipes de votre atelier de fabrication (40 à 90 personnes) dans le respect des procédures hygiène, qualité et sécurité.
A ce titre, vos missions sont les suivantes :
-Gestion des équipes (plannings, évaluations, entretiens individuels),
-Autorité, respect de la discipline et des règles de base (hygiène, sécurité conditions de travail, formation, traçabilité, qualité, cahier des charges clients)
-Organisation et coordination du service dans le respect de la productivité, des rotations et des polyvalences
-Pilotage des indicateurs de productivité et de rendement dans le respect des consignes QHSE (planification, ordonnancement, gestion des stocks de produits, gestion des aléas de production) 
-Participation active à la progression du service
-Lancement et/ou suivi des projets d'amélioration continue du service
-Participation à l'expression des besoins, au cahier des charges, à la mise en œuvre des investissements du service
Profil recherché : 

Formation Bac+5, ingénieur ou équivalent, vous disposez d'une première expérience en management d'équipe dans un univers industriel ou logistique exigeant, à l'idéal en industrie de process.
A ce titre, vous disposez de fortes aptitudes relationnelles et managériales. Vous avez capacité à prendre du recul/ de la hauteur par rapport à la gestion des tâches quotidiennes.
De nature organisé(e), vous êtes doué(e) d'une capacité d'analyse et êtes force de proposition.
#premium",CDI,07 - ETABLES,2025-05-07T08:51:10.000Z,Temps plein,
6353062,Responsable QSE H/F,"RESPONSABILITÉS : 

Dans le cadre d'une création de poste, nous sommes à la recherche d'un(e) RESPONSABLE QUALITÉ, SÉCURITÉ, ENVIRONNEMENT (QSE) en CDI, temps plein, basé à St PERAY (07).
Rattaché(e) hiérarchiquement à la Directrice QUALITÉ, SÉCURITÉ, ENVIRONNEMENT (QSE). Vous aurez comme mission principale de mettre en œuvre et animer la politique Qualité, Sécurité et Environnement de l'entreprise en veillant au respect des réglementations en vigueur et à l'amélioration continue des processus.
Activités et responsabilités :
 -  Qualité :
 - Concevoir, déployer et suivre le système de management de la qualité (ISO 9001, autres normes spécifiques).
 - Piloter les audits internes et externes et assurer la conformité aux référentiels en vigueur.
 - Analyser les non-conformités et définir des plans d'actions correctifs et préventifs.
 - Sensibiliser et former les collaborateurs aux bonnes pratiques qualité.
 -  Sécurité :
 - Identifier et prévenir les risques professionnels en lien avec la réglementation en vigueur.
 - Mettre en place des actions de prévention pour garantir la sécurité des employés et des biens.
 - Animer les formations et sensibilisations aux risques professionnels.
 - Veiller au respect des obligations légales et normatives en matière de sécurité.
 -  Environnement :
 - Mettre en place et suivre les démarches environnementales conformes aux exigences réglementaires (ISO 14001, réglementations locales).
 - Piloter les actions de réduction de l'impact environnemental de l'entreprise (gestion des déchets, consommation d'énergie, etc.).
 - Sensibiliser les employés aux bonnes pratiques environnementales.
 - Assurer la veille réglementaire environnementale et adapter les procédures en conséquence.
Pour vous permettre de mener à bien vos missions, des déplacements ponctuels sont à prévoir sur nos différents sites.

PROFIL RECHERCHÉ : 

Vous êtes titulaire d'un BAC+3 dans le domaine QSE et avez une expérience de 3 à 5 ans.
Autonome, vous êtes force de propositions et avez un bon esprit d'équipe.
Souple et réactif(ve), avec un sens des priorités aigües vous vous adaptez facilement.
Vous avez la capacité de maîtriser les normes ISO 9001, ISO 14001 et ISO 45001 d'analyser les risques et de proposer des solutions, tout en ayant d'excellentes compétences en communication pour mener à bien vos projets.
Votre connaissance approfondie de la réglementation, combinée à votre capacité à animer des formations, vous permet de sensibiliser efficacement les équipes aux enjeux de la qualité, de la sécurité et de l'environnement.
Vous maîtrisez des outils bureautiques (Word, Excel, PowerPoint) et logiciels de gestion QSE.
Avantages :
Dans notre entreprise, nous mettons un point d'honneur à offrir un environnement de travail qui s'adapte à vos besoins et à votre équilibre entre vie professionnelle et personnelle.
 - Semaine à 4.5 jours possible après la validation de la période d'essai
 - Horaires de travail flexibles
 - Tickets restaurant 8€
 - Prime annuelle
 - Mutuelle
 - Rémunération sur 13 mois : Selon profil et expérience",CDI,07 - ST PERAY,2025-05-07T08:01:25.000Z,39 H  Travail en journée,
6345494,Assistant / Assistante de vie (H/F),"Description du poste :
ET SI VOUS REJOIGNIEZ NOTRE GRANDE FAMILLE ?
Vous souhaitez mettre vos compétences au service d'une structure chaleureuse et familiale ? Rejoignez-nous : notre agence recherche un(e) auxiliaire de vie pour renforcer son équipe !
VOS MISSIONS, EN TOUTE AUTONOMIE
Vous vous déplacez aux domiciles de nos bénéficiaires afin de les accompagner dans différents aspects du quotidien : entretien du lieu de vie, aide aux déplacements, aux soins d'hygiène, à la confection ou à la prise des repas, présence lors de sorties. Vous jouez un rôle essentiel dans le maintien de l'autonomie de la personne.
Grâce à vos interventions, nos bénéficiaires évoluent en toute sécurité dans le cadre rassurant de leurs foyers.
Votre sourire et votre bonne humeur illuminent les journées de nos bénéficiaires !
Description du profil :
VOTRE PROFIL
Aider ceux qui en ont besoin est pour vous une véritable vocation. Doté d'un excellent relationnel, de capacités d'adaptation et d'une grande bienveillance, vous avez envie d'intégrer une agence de proximité.
Vous disposez d'un diplôme relatif au métier d'auxiliaire de vie ou de 3 années d'expérience dans ce secteur.
EN DEVENANT MEMBRE DE NOTRE GRANDE FAMILLE, NOUS VOUS PROPOSONS.
* D'un CDI , à temps partiel ou à temps plein, c'est vous qui choisissez ! Parce que nous estimons qu'équilibrer vie professionnelle et vie personnelle est essentiel, nous élaborons pour vous un planning qui prend en compte vos contraintes. mais aussi le choix du mode de paiement de vos heures avec un paiement lissé ou au réel.
* D'autres avantages comme : notre mutuelle d'entreprise (prise en charge à 50%) , l'accès à notre comité d'entreprise, les tickets restaurants à 7€. La possibilité d'obtenir une prime de cooptation s'élevant à 150€ ! Des indemnités kilométriques à 0.47€ par kilomètre Le remboursement des transports en commun (pris en charge jusqu'à 100%)
* La valorisation de votre expérience dans le domaine du service à la personne.
Nous vous accompagnons dans votre prise de poste dès le premier jour et il est possible de vous faire grandir en passant par la formation et/ou en valorisant vos années d'expériences.
Nous sommes signataire de la charte de la diversité. En ce sens, nous nous engageons à étudier chaque candidature avec la même importance.",CDI,07 - MAUVES,2025-05-07T06:20:04.000Z,,"Annuel de 11,00 Euros"
6324997,Employé de Ménage H/F,"POSTE : Employé de Ménage H/F
DESCRIPTION : REJOIGNEZ LA GRANDE FAMILLE DOMALIANCE AUBENAS !

Envie de rejoindre une structure dynamique qui place ses clients, ses bénéficiaires et ses collaborateurs au coeur de ses préoccupations ? Intégrez dès à présent notre grande famille ! Nous recherchons, pour compléter l'équipe de notre agence, un(e) assistant(e) ménager(ère).

LES MISSIONS QUOTIDIENNES QUI VOUS SERONT CONFIÉES

De manière autonome, vous vous rendez chez nos clients et nos bénéficiaires afin de simplifier leur quotidien. Conformément à leurs besoins, vous assurez l'entretien du domicile (rangement, dépoussiérage, nettoyage des surfaces et des sols) et/ ou du linge.

Votre bonne humeur redonne le sourire à nos clients et à nos bénéficiaires.
PROFIL : CE QUI VOUS DÉCRIT LE MIEUX C'EST

Votre bienveillance, votre dynamisme et votre volonté d'aider les autres quotidiennement, aux côtés d'une équipe passionnée et solidaire.

Il n'est pas obligatoire de disposer d'un diplôme spécifique ou d'une expérience professionnelle préalable : nous nous chargerons de vous former avant votre prise de poste.

AVEC DOMALIANCE AUBENAS, VOUS BÉNÉFICIEZ

* Un CDI, à temps partiel ou à temps plein, c'est vous qui choisissez ! Parce que nous estimons qu'équilibrer vie professionnelle et vie personnelle est essentiel, nous élaborons pour vous un planning qui prend en compte vos contraintes. mais aussi le choix du mode de paiement de vos heures avec un paiement lissé ou au réel.
* D'autres avantages comme : notre mutuelle d'entreprise (prise en charge à 50%), l'accès à notre comité d'entreprise les tickets restaurants à 7€. La possibilité d'obtenir une prime de cooptation s'élevant à 150€ ! Des indemnités kilométriques à 0.47€ par kilomètre Le remboursement des transports en commun (pris en charge jusqu'à 100%) cellule d'écoute et de soutien
* La valorisation de votre expérience dans le domaine du service à la personne.

Nous vous accompagnons dans votre prise de poste dès le premier jour et il est possible de vous faire grandir en passant par la formation et/ou en valorisant vos années d'expériences.

Nous sommes signataire de la charte de la diversité. En ce sens, nous nous engageons à étudier chaque candidature avec la même importance.",CDI,07 - ST THOME,2025-05-06T21:04:55.000Z,,"Horaire de 11,88 Euros à 11,88 Euros"
