offre_id,competence_code,competence_libelle
192KPMV,402148,"Étudier, définir et formaliser un process de fabrication par usinage"
192KPMV,300315,"Identifier et sélectionner des fournisseurs, sous-traitants, prestataires"
192KPMV,400355,"Lire et exploiter un plan, un schéma"
192KPMV,300125,"Renseigner, mettre à jour une documentation technique"
192KPMV,300444,Valoriser et partager les bonnes pratiques
192KPFT,479001,Connaissance des câblages spécifiques poids lourds
192KPFT,490308,Systèmes hydrauliques et électriques
192KPFT,100286,Techniques de soudure
192KPFT,122982,Technologie des équipements électriques
192KPFT,491741,Appliquer la réglementation VGP (Vérification Générale Périodique) en termes d’équipement et accessoires des véhicules industriels 
192KPFT,489756,Appliquer les normes relatives à la prévention des risques électriques
192KPFT,491738,Déposer et Poser des équipements et accessoires des véhicules industriels 
192KPFT,118362,Déterminer une solution technique de remise en état du véhicule et des équipements
192KPFT,484979,Maintenir l'atelier en ordre et sécurisé pour prévenir les accidents
192KPFT,491740,Paramétrer et programmer des équipements et accessoires des véhicules industriels 
192KPFT,490095,Remettre en conformité les faisceaux électriques 
192KPFT,114827,"Surveiller l'usure et remettre en état des outillages, outils, organes, ensembles, systèmes mécaniques"
192KGBL,118972,Nutrition animale
192KGBL,300751,Soins aux animaux
192KGBL,100408,"Identifier le motif de consultation, le degré d'urgence et informer le propriétaire de l'animal sur les modalités de prise en charge"
192KGBL,100409,Manipuler des animaux
192KGBL,100410,"Préparer le matériel et apporter une aide technique au vétérinaire, à l'éleveur, ..."
192KCZH,100090,Techniques pédagogiques
192KCZH,100541,"Techniques de communication orales, écrites et numériques"
192KCZH,103848,Animation de groupes
192KCZH,118140,Technologies de l'information et de la communication (TIC)
192KCZH,124869,Charte des FabLabs
192KCZH,126356,Règles de diffusion et de communication de l'information
192KCZH,103888,Concevoir le programme des activités selon les spécificités du public
192KCZH,103889,Identifier les attentes du public et l'informer sur la ou les activités d'animation et les modalités d'organisation
192KCZH,103890,Concevoir une animation événementielle
192KCZH,117529,Optimiser l'espace de rangement
192KCZH,140975,Accompagner et développer l'autonomie dans l'usage des outils numériques et des services digitaux
192KCZH,300017,Accompagner une personne dans l'acquisition de connaissances
192KCZH,300110,Mettre en oeuvre des actions de communication
192KCZH,300111,Définir une stratégie de communication
192KCZH,300119,Réaliser une veille documentaire
192KCZH,300123,"Créer, organiser ou coordonner un évènement"
192KCZH,300125,"Renseigner, mettre à jour une documentation technique"
192KCZH,300260,Gérer les stocks
192KCZH,300426,Utiliser les outils numériques
192KCZH,300449,Expliquer et faire respecter les règles et procédures
192KCZH,,bonnes notions en réseau
192KCZH,,connaissance du logiciel Dolibar
192HRBH,476882,Capacité à travailler en équipe
192HRBH,124959,Cuire des pièces de viennoiserie
192HRBH,124960,Défourner des pains et viennoiseries
192GYSQ,121306,Assembler des canalisations
192GYSQ,300230,"Découper, tailler des matières premières"
192GYSQ,106269,"Préparer les embouts et les bords à souder, à visser et les ajuster"
192GYSQ,121314,Raccorder et fixer des lignes et accessoires de tuyauterie
192GYSQ,106160,Relever et reporter des cotes
192GTDW,100016,Gestes et postures de manutention
192GTDW,102405,Techniques de mise en rayon
192GTDW,117468,Réaliser la mise en rayon
192GSTK,126284,Techniques de formation collective
192GSTK,100090,Techniques pédagogiques
192GSTK,300440,"Animer, coordonner une équipe"
192GSTK,108517,"Concevoir et préparer les cours, les travaux dirigés ou les travaux pratiques"
192GSTK,300026,Concevoir l'ingénierie de formation et les séquences pédagogiques
192GSQX,110036,"Réaliser le prélèvement de produits selon les instructions de préparation de commande et constituer les colis, lots, ..."
192GSQX,300263,"Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison"
192GSQX,300265,"Charger, décharger, manutentionner des produits"
192GQRN,100016,Gestes et postures de manutention
192GQRN,102405,Techniques de mise en rayon
192GQRN,300374,Présenter et valoriser un produit ou un service
192GQRN,117468,Réaliser la mise en rayon
192GNZV,116903,Stratégies de communication externe
192GNZV,107905,Transmettre et expliquer aux personnes les règles sociales et civiques au cours des activités de la vie quotidienne
192GNZV,107908,Accompagner la mise en oeuvre d'un projet socioéducatif et proposer des axes d'adaptation à la personne
192GNZV,300436,Organiser le travail d'une équipe
192GBNV,117414,Méthodes de contrôle d'étanchéité
192GBNV,121168,Couper les éléments de fermetures menuisées
192GBNV,124331,Démonter une fermeture menuisée et vérifier l'état du support
192GBNV,123243,Fixer des éléments menuisés
192GBNV,103592,"Réaliser l'étanchéité de l'ensemble support/châssis et poser les mousses de polyuréthane, joints, bandes adhésives, cornières, ..."
192GBNB,116706,Contrôler les réparations
192GBNB,300436,Organiser le travail d'une équipe
192GBNB,116682,Planifier des réparations
192GBNB,116707,Planifier les réceptions de véhicules
192FVVZ,104167,Caractéristiques des produits d'entretien
192FVVZ,107349,Procédures de nettoyage écologique
192FVVZ,108703,"Protocoles d'hygiène d'environnement sensible (alimentaire, chimie, ...)"
192FVVZ,125248,Techniques de cirage de surfaces/sols
192FVVZ,125247,Techniques de décapage de surfaces/sols
192FVVZ,108695,Techniques de lavage mécanisées des sols
192FVVZ,125249,Techniques de lustrage de surfaces/sols
192FVVZ,125251,Techniques de récurage de surfaces/sols
192FVVZ,125252,Techniques de nettoyage des moquettes
192FVVZ,125149,Utilisation d'autolaveuses
192FVVZ,125151,Utilisation de machines de nettoyage à injection ou extraction
192FVVZ,125152,Utilisation de machines de nettoyage électromécanique
192FVVZ,125150,Utilisation de machines de nettoyage haute pression
192FVVZ,107329,Utilisation de monobrosse
192FVVZ,122126,Utilisation d'équipements mécanisés
192FVVZ,300147,"Adapter et optimiser sa pratique au contexte et aux risques professionnels (gestes, postures, ergonomie)"
192FVVZ,300474,"Alerter, demander un appui ou un arbitrage"
192FVVZ,300440,"Animer, coordonner une équipe"
192FVVZ,400815,Appliquer les principes du bio-nettoyage
192FVVZ,126141,Baliser les zones glissantes
192FVVZ,300313,Contrôler la réalisation et les coûts d'une prestation 
192FVVZ,116932,Assurer le suivi des stocks en temps réel
192FVVZ,125971,Définir des besoins en approvisionnement
192FVVZ,117070,Désinfecter et décontaminer des locaux sensibles
192FVVZ,119621,Doser des produits d'entretien
192FVVZ,300282,"Entretenir, nettoyer un espace, un lieu, un local"
192FVVZ,300177,"Entretenir, nettoyer un produit ou du matériel"
192FVVZ,125246,"Entretenir une surface, un sol"
192FVVZ,300298,"Evacuer et trier des déchets, des produits"
192FVVZ,300363,"Identifier, traiter une demande client"
192FVVZ,107957,Laver des vitres
192FVVZ,300636,Organiser et planifier une activité
192FVVZ,300152,Préparer du matériel en prévision d'un travail
192FVVZ,300451,Relayer de l'information
192FVVZ,300364,Répondre aux attentes d'un client
192FVVZ,121159,Sécuriser le périmètre d'intervention
192FVVZ,400679,Sélectionner les produits et matériels de nettoyage adaptés
192FVVZ,300153,"Utiliser un outil, une machine, un équipement, une installation"
192FVVZ,121931,Vérifier la conformité d'une réalisation avec un cahier des charges
192FVVZ,107327,Vérifier le contenu du chariot de ménage et procéder à la préparation des solutions de nettoyage
192FTYN,100038,Chiffrage/calcul de coût
192FTYN,100144,Respect des normes d'hygiène et de sécurité
192FTYN,300014,"Conseiller, accompagner une personne"
192FTYN,300313,Contrôler la réalisation et les coûts d'une prestation 
192FTYN,125430,Développer des stratégies pour améliorer l'efficacité du nettoyage
192FPPC,100003,Fonctionnement des engins agricoles
192FPPC,300152,Préparer du matériel en prévision d'un travail
192DNFZ,115028,"Données d'activité de la structure, du service"
192DNFZ,100144,Respect des normes d'hygiène et de sécurité
192DNFZ,300067,"Analyser, exploiter, structurer des données"
192DNFZ,300487,Piloter une activité
192DNFZ,110127,"Superviser la planification de l'exploitation du ou des sites logistiques en fonction de l'activité (flux internes/externes, commandes spécifiques, ...)"
192DNFR,116932,Assurer le suivi des stocks en temps réel
192DNFR,300313,Contrôler la réalisation et les coûts d'une prestation 
192DNFR,118772,Établir des rapports de progression des travaux
192DNFR,122722,Optimiser des modes opératoires
192DNFR,300175,"Piloter la gestion de la production, de l'exploitation"
192DNFR,300146,Élaborer des processus et des modes opératoires techniques
192DNFR,402226,Favoriser un environnement de travail collaboratif
192CFTT,100865,Utilisation de machines à façonner les clés
192CFTT,124332,Démonter une pièce de son support
192CFTT,125338,"Ajuster des chaussures (rehaussement, talonnettes etc.)"
192CFTT,125532,Réaliser des plaques minéralogiques et d'identification
192CFTT,125533,Réaliser des reproductions de clés
192CFTT,101988,Déterminer les réparations ou modifications de l'article
192CFTT,102912,Réaliser l'étiquetage de produits
192CFTT,300303,Procéder à l'encaissement
192CFTT,300361,"Accueillir, orienter, renseigner un public"
192CFLG,106868,"Localiser la panne ou la défaillance par des contrôles, des tests et des mesures"
192CFLG,300378,Assurer un service après-vente
192CFLG,300124,"Comprendre, interpréter des données et documents techniques"
192CFLG,123625,Contrôler l'état de fonctionnement d'un produit
192CFLG,300185,Réaliser un diagnostic technique
192BZBK,124680,Procédures de contrôle qualité
192BZBK,124842,Contrôler des données qualité
192BZBK,300258,Contrôler la qualité et la conformité des process
192BZBK,300245,"Piloter une démarche qualité, un processus d'amélioration continue"
192BQSG,100596,Techniques de maçonnerie
192BQSG,102717,Électricité
192BQSG,103595,Techniques de pose de fermetures
192BQSG,123243,Fixer des éléments menuisés
192BQSG,300130,"Relever, contrôler, ajuster des mesures et dosages"
192BPHZ,102903,Retirer des produits non conformes
192BPHZ,116932,Assurer le suivi des stocks en temps réel
192BPHZ,123793,Contrôler l'état de conservation d'un produit périssable
192BPHZ,300181,"Entretenir un équipement, une machine, une installation"
192BPHZ,300282,"Entretenir, nettoyer un espace, un lieu, un local"
192BPHZ,300374,Présenter et valoriser un produit ou un service
192BPHZ,300375,"Organiser, aménager un espace de vente"
192BPHZ,300504,Renseigner le support de suivi de traçabilité des marchandises
192BNMP,124935,Dresser des plats pour le service
192BBBB,100090,Techniques pédagogiques
192BBBB,108415,Conseiller des apprenants afin de développer leurs capacités artistiques
192BBBB,300018,"Évaluer des acquis d'apprentissage, de formation ou d'expérience"
192BBBB,300022,"Enseigner, transmettre des connaissances, développer des compétences"
191ZWHW,120031,Documents de bord d'un véhicule
191ZWHW,110527,Contrôler l'état de fonctionnement du véhicule
191ZWHW,110523,"Préparer le véhicule, repérer le parcours et prévoir les aléas"
191ZWHW,300275,Transporter des passagers
191ZTQF,124935,Dresser des plats pour le service
191YZGB,102096,Normes d'hygiène et de propreté
191YZGB,107920,Effectuer les courses d'une personne
191YZFT,107908,Accompagner la mise en oeuvre d'un projet socioéducatif et proposer des axes d'adaptation à la personne
191YZFT,300436,Organiser le travail d'une équipe
191YZFT,107905,Transmettre et expliquer aux personnes les règles sociales et civiques au cours des activités de la vie quotidienne
191YXQG,121814,Protocoles de soins
191YXQG,300058,Concevoir des protocoles de soins
191YXQG,300243,"Contrôler les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE)"
191YXQG,300449,Expliquer et faire respecter les règles et procédures
191YXQG,300487,Piloter une activité
191YXMG,102096,Normes d'hygiène et de propreté
191YXMG,107920,Effectuer les courses d'une personne
191YSKX,107908,Accompagner la mise en oeuvre d'un projet socioéducatif et proposer des axes d'adaptation à la personne
191YSKX,300436,Organiser le travail d'une équipe
191YSKX,107905,Transmettre et expliquer aux personnes les règles sociales et civiques au cours des activités de la vie quotidienne
191YQBY,121307,Entretenir des canalisations
191YQBY,123568,Contrôler un réseau ou un équipement d'exploitation
191YQBY,300178,Réaliser des corrections ou réparations sur un ouvrage
191YQBY,300250,Analyser la qualité des process
191YQBY,300408,"Rédiger un rapport, un compte rendu d'activité"
191YQBY,300449,Expliquer et faire respecter les règles et procédures
191YQBY,400083,Appliquer la réglementation spécifiant les normes d'assainissement
191YQBY,400534,Diagnostiquer les travaux de modernisation d'un réseau d'eau potable
191YKZB,107908,Accompagner la mise en oeuvre d'un projet socioéducatif et proposer des axes d'adaptation à la personne
191YKZB,107905,Transmettre et expliquer aux personnes les règles sociales et civiques au cours des activités de la vie quotidienne
191YKZB,,"DEME, permis B"
191WFTJ,107714,Préparer la table d'instrumentation médico-chirurgicale selon le programme opératoire
191WFTJ,107715,Réaliser des soins infirmiers
191WFTJ,107703,Renseigner les documents techniques lors d'une intervention chirurgicale et les transmettre à l'interlocuteur concerné
191WFTJ,107716,Répartir les instruments et les dispositifs médicaux selon le mode de traitement par stérilisation ou par destruction
191WFKX,300152,Préparer du matériel en prévision d'un travail
191WFKX,300185,Réaliser un diagnostic technique
191WFKX,106679,Changer ou réparer une pièce ou un ensemble défectueux
191WFKX,124812,Définir les interventions sur un équipement selon le dossier technique
191VXNQ,107099,Remplacer un vitrage inamovible ou amovible
191VXNQ,107098,"Contrôler la géométrie des châssis, coques, berceaux et redresser les éléments de carrosserie déformés ou les remplacer"
191VMNR,100129,Code des marchés publics
191VMNR,100343,Législation sociale
191VMNR,300440,"Animer, coordonner une équipe"
191VMNR,300487,Piloter une activité
191VMHJ,106655,Règles de sécurité routière
191VMHJ,106656,Risques de circulation sur voie publique
191VMHJ,120676,Utilisation d'outils de taille
191VMHJ,122854,Techniques de fauchage
191VMHJ,106649,Surveiller l'état du tracé routier et de ses équipements et repérer les anomalies et les risques
191VMHJ,106652,"Informer et assister les usagers du réseau routier en cas de pannes, d'accidents"
191VMHJ,119210,Effectuer la maintenance de premier niveau des outillages et des équipements
191VMHJ,121159,Sécuriser le périmètre d'intervention
191VMHJ,123299,Entretenir un espace urbain
191VMHJ,300297,"Aménager, entretenir un espace naturel, une forêt"
191VMHJ,300426,Utiliser les outils numériques
191VGKD,104167,Caractéristiques des produits d'entretien
191VGKD,126141,Baliser les zones glissantes
191VGKD,300282,"Entretenir, nettoyer un espace, un lieu, un local"
191VGKD,300152,Préparer du matériel en prévision d'un travail
191VGKD,300451,Relayer de l'information
191TXNY,117205,Accomplir des démarches pour le compte de clients
191TXNY,124627,Apporter des conseils sur des procédures de résolution de litiges
191TXNY,300014,"Conseiller, accompagner une personne"
191TXNY,300338,Appliquer un cadre juridique ou réglementaire
191TXNY,300410,Communiquer à l'oral en milieu professionnel
191TXNY,122003,Faire du conseil juridique
191TXNY,300119,Réaliser une veille documentaire
191TXNY,123656,Sensibiliser un public à une réglementation
191TXNY,121260,Traiter des actes de procédure
191TWCJ,104167,Caractéristiques des produits d'entretien
191TWCJ,477951,Techniques de nettoyage manuel
191TWCJ,126141,Baliser les zones glissantes
191TWCJ,300282,"Entretenir, nettoyer un espace, un lieu, un local"
191TWCJ,300152,Préparer du matériel en prévision d'un travail
191TWCJ,300451,Relayer de l'information
191TWCJ,125246,"Entretenir une surface, un sol"
191TWCJ,400206,Maintenir les équipements en bon état de fonctionnement
191TWCJ,126471,Respecter un planning de production
191TVFW,118673,Maintenance préventive/curative de deuxième niveau
191TVFW,106679,Changer ou réparer une pièce ou un ensemble défectueux
191TVFW,300180,"Contrôler la conformité d'un équipement, d'une machine, d'une installation"
191TVFW,300080,"Procéder à des tests, expérimentations"
191SMDH,103572,Caractéristiques des peintures
191SMDH,125040,Utilisation de cabine de peinture
191SMDH,100662,Utilisation de pistolet de projection
191SMDH,300214,"Appliquer un traitement, un produit"
191SMDH,106557,"Contrôler la surface (dépôt, aspect, épaisseur), identifier les non-conformités et réaliser les retouches, reprises de finition"
191SMDH,300216,Manipuler des produits dangereux ou fragiles
191SMDH,300227,Peindre des surfaces et supports visuels
191SMDH,106555,"Préparer le produit (quantité, teinte, mélange, ...) et régler l'équipement d'application"
191SMDH,106553,"Préparer les surfaces (dégraissage, masquage, sablage, ...) selon le type de support"
191SMDH,402268,"Réaliser la peinture, le vernissage, l'enduit ou la laque de petits objets ou de grandes surfaces"
191SMDH,106579,Réaliser une opération de dégraissage de surface
191SMDH,106581,"Réaliser une opération de grenaillage, sablage"
191SMDH,106582,Réaliser une opération de lustrage de surface
191SMDH,105962,"Réaliser une opération de ponçage, polissage, lissage"
191SMDH,106554,"Tracer et réaliser des marquages, masquages (prédécoupés, adhésifs, ...) sur la surface à peindre"
191SFBP,100003,Fonctionnement des engins agricoles
191SFBP,300152,Préparer du matériel en prévision d'un travail
191RYCB,100016,Gestes et postures de manutention
191RYCB,102405,Techniques de mise en rayon
191RYCB,117468,Réaliser la mise en rayon
191RYCB,300374,Présenter et valoriser un produit ou un service
191RJQN,122700,Assurances
191RJQN,117240,Rassembler les justificatifs et transmettre la proposition d'assurance pour décision
191RJQN,121164,Rédiger un contrat d'assurance
191RJQN,121427,Développer un portefeuille clients et prospects
191RJQN,300253,Contrôler la conformité des données
191RFND,124919,"Cuire des viandes, poissons ou légumes"
191RFND,124935,Dresser des plats pour le service
191RFND,300282,"Entretenir, nettoyer un espace, un lieu, un local"
191RFND,124947,Éplucher des légumes et des fruits
191RFND,104207,Préparer les viandes et les poissons
191QKJK,102096,Normes d'hygiène et de propreté
191QKJK,107920,Effectuer les courses d'une personne
191QKJK,300044,Surveiller l'état de santé d'une personne
191QHGW,300185,Réaliser un diagnostic technique
191QHGW,300182,"Réparer un équipement, une machine, une installation"
191LPDB,124935,Dresser des plats pour le service
191JFSN,107905,Transmettre et expliquer aux personnes les règles sociales et civiques au cours des activités de la vie quotidienne
191JFSN,107907,Guider ou accompagner une personne dans ses démarches
191JFSN,107908,Accompagner la mise en oeuvre d'un projet socioéducatif et proposer des axes d'adaptation à la personne
191JFSN,300436,Organiser le travail d'une équipe
191HPDL,103927,Adapter un parcours ou une séquence pédagogique selon le niveau et la progression des apprenants
191HPDL,103926,Évaluer le niveau de départ du pratiquant
191HPDL,103928,Présenter l'exercice aux pratiquants et apporter un appui technique
191HPDL,103929,Réaliser le suivi du matériel ou des équipements sportifs
191GGJV,107926,Techniques d'écoute active
191GGJV,116932,Assurer le suivi des stocks en temps réel
191GGJV,102048,Concevoir des protocoles de soins esthétiques
191GGJV,300282,"Entretenir, nettoyer un espace, un lieu, un local"
191GGJV,300431,"Mettre à jour un dossier, une base de données"
191GGJV,300280,Organiser le traitement des commandes
191GGJV,300542,Présenter et expliquer des techniques d'esthétique et de maquillage
191GGJV,300374,Présenter et valoriser un produit ou un service
191GGJV,300303,Procéder à l'encaissement
191GGJV,300043,Prodiguer des soins corporels et esthétiques
191GGJV,102050,Réaliser des soins du visage et du corps
191GGJV,122351,Vendre une prestation ou un produit
191FPZY,300282,"Entretenir, nettoyer un espace, un lieu, un local"
191FPZY,400429,Manipuler des équipements de cuisine
191FMJG,117920,Cuisine indienne
191FMJG,104207,Préparer les viandes et les poissons
191FMJG,115131,Préparer des repas
191FMJG,124919,"Cuire des viandes, poissons ou légumes"
191FMJG,124933,Doser des ingrédients culinaires
191FMJG,124947,Éplucher des légumes et des fruits
191FMJG,,cuisine indienne
191FDQL,300374,Présenter et valoriser un produit ou un service
191FDQL,300375,"Organiser, aménager un espace de vente"
191FDQL,116932,Assurer le suivi des stocks en temps réel
191FDQL,300280,Organiser le traitement des commandes
191FCTS,124680,Procédures de contrôle qualité
191FCTS,300245,"Piloter une démarche qualité, un processus d'amélioration continue"
191FCTS,300258,Contrôler la qualité et la conformité des process
191FCTS,124842,Contrôler des données qualité
191DYCX,120031,Documents de bord d'un véhicule
191DYCX,110527,Contrôler l'état de fonctionnement du véhicule
191DYCX,110523,"Préparer le véhicule, repérer le parcours et prévoir les aléas"
191DYCX,300275,Transporter des passagers
191DYBX,120031,Documents de bord d'un véhicule
191DYBX,110527,Contrôler l'état de fonctionnement du véhicule
191DYBX,110523,"Préparer le véhicule, repérer le parcours et prévoir les aléas"
191DYBX,300275,Transporter des passagers
191DXZN,120031,Documents de bord d'un véhicule
191DXZN,110527,Contrôler l'état de fonctionnement du véhicule
191DXZN,110523,"Préparer le véhicule, repérer le parcours et prévoir les aléas"
191DXZN,300275,Transporter des passagers
191DXYS,120031,Documents de bord d'un véhicule
191DXYS,110527,Contrôler l'état de fonctionnement du véhicule
191DXYS,110523,"Préparer le véhicule, repérer le parcours et prévoir les aléas"
191DXYS,300275,Transporter des passagers
191DXXY,120031,Documents de bord d'un véhicule
191DXXY,120373,Agir rapidement en cas d'accident ou d'imprévu
191DXXY,110527,Contrôler l'état de fonctionnement du véhicule
191DXXY,110523,"Préparer le véhicule, repérer le parcours et prévoir les aléas"
191DXXY,300275,Transporter des passagers
191CKLW,102096,Normes d'hygiène et de propreté
191CKLW,107920,Effectuer les courses d'une personne
191CKLW,300044,Surveiller l'état de santé d'une personne
190ZSDV,101449,Réglementation sécurité incendie
190ZSDV,106659,"Diagnostiquer une panne sur une installation (éclairage, chauffage, sanitaires)"
190ZSDV,106662,"Entretenir l'installation sanitaire, de chauffage et de production d'eau chaude"
190ZSDV,106661,"Réparer ou remplacer les poignées, vitres, rails, ... de portes, fenêtres, ..."
190ZSDV,119210,Effectuer la maintenance de premier niveau des outillages et des équipements
190ZPHJ,103592,"Réaliser l'étanchéité de l'ensemble support/châssis et poser les mousses de polyuréthane, joints, bandes adhésives, cornières, ..."
190ZPHJ,121168,Couper les éléments de fermetures menuisées
190ZPHJ,123243,Fixer des éléments menuisés
190ZPHJ,124331,Démonter une fermeture menuisée et vérifier l'état du support
190ZPDK,104751,Sélectionner le matériel de contrôle ou d'essais et vérifier sa conformité
190ZPDK,123814,Contrôler l'état de fonctionnement d'un appareil
190ZPDK,124978,Simuler les fonctionnalités d'un appareil
190ZPDK,300451,Relayer de l'information
190ZPDK,121618,Développer des stratégies de tests adaptatives
190ZNVS,118639,"Analyser les données d'une étude, d'un projet"
190ZNVS,300366,Recueillir et analyser les besoins client
190ZNVS,300488,Concevoir et gérer un projet
190ZFQS,124629,Entretenir un outil ou matériel
190ZFQS,300282,"Entretenir, nettoyer un espace, un lieu, un local"
190ZFQS,300487,Piloter une activité
190ZFQS,300656,"Réaliser les opérations funéraires pour l'inhumation, la crémation ou l'exhumation"
190ZFQS,108858,Réceptionner le cercueil et les articles funéraires et organiser le transfert
190YTNK,101910,Techniques de coupes de cheveux
190YTNK,101903,"Réaliser le diagnostic capillaire, les préparations du lavage et le shampoing"
190YTNK,101918,Réaliser une coupe ou une coiffure
190YTNK,101901,Accueillir le client et l'installer
190YTNK,101902,Identifier la coiffure attendue et conseiller le client 
190YTBT,101910,Techniques de coupes de cheveux
190YTBT,101903,"Réaliser le diagnostic capillaire, les préparations du lavage et le shampoing"
190YTBT,101918,Réaliser une coupe ou une coiffure
190YTBT,101901,Accueillir le client et l'installer
190YTBT,101902,Identifier la coiffure attendue et conseiller le client 
190VJSB,100090,Techniques pédagogiques
190VJSB,108415,Conseiller des apprenants afin de développer leurs capacités artistiques
190VJSB,300022,"Enseigner, transmettre des connaissances, développer des compétences"
190QRTQ,109420,Superviser la gestion financière
190QRTQ,300323,"Élaborer, suivre et piloter un budget"
190QRTQ,124029,Présenter un budget
190QNXV,300067,"Analyser, exploiter, structurer des données"
190QNXV,300440,"Animer, coordonner une équipe"
190QNXV,300009,Concevoir et piloter une politique de gestion des ressources humaines
190QNXV,300337,Définir la stratégie financière d'une structure
190QNXV,300391,Élaborer une stratégie de développement d'activité
190MHBW,102096,Normes d'hygiène et de propreté
190MHBW,107920,Effectuer les courses d'une personne
190MHBW,300044,Surveiller l'état de santé d'une personne
190HBNY,116932,Assurer le suivi des stocks en temps réel
190HBNY,300375,"Organiser, aménager un espace de vente"
190HBNY,300280,Organiser le traitement des commandes
190HBNY,300374,Présenter et valoriser un produit ou un service
189XMXP,400288,"Déblayer, remblayer un terrain"
189XMXP,121977,Terrasser un terrain ou une construction
189XMXP,300265,"Charger, décharger, manutentionner des produits"
189QVVJ,100038,Chiffrage/calcul de coût
189QVVJ,113245,Normes qualité
189QVVJ,118500,Élaborer des propositions techniques
189QVVJ,119161,Identifier les contraintes d'un projet
189QVVJ,124529,Déterminer des axes d'évolution technologiques
189QVVJ,300337,Définir la stratégie financière d'une structure
189QVVJ,300488,Concevoir et gérer un projet
189PJKS,121814,Protocoles de soins
189CQBB,104415,Automatisme
189CQBB,124810,Documentation technique et rapports de maintenance
189CQBB,106696,"Réparer l'installation par le remplacement et la remise en état des dispositifs électriques, électroniques, mécaniques, pneumatiques, hydrauliques"
192XCJN,105456,Identifier des non-conformités
192XCJN,104854,"Surveiller l'approvisionnement des machines, des installations et le flux des matières ou des produits"
192XCJN,117646,Surveiller l'assemblage de pièces
192XCJN,106186,"Vérifier le montage/assemblage (aspect, parallélisme, jeu, maintien, fonctionnement, ...) et procéder aux ajustements, retouches"
192XCJN,106184,"Vérifier, positionner et fixer les pièces et les éléments de l'assemblage (bâtis, grappes, gabarits, structures, ...)"
192VYVC,110527,Contrôler l'état de fonctionnement du véhicule
192VYVC,485797,Appliquer les procédures en cas d'accident ou de panne
192VYVC,483364,Communiquer efficacement avec la centrale et les clients
192VYVC,110024,Conduire un poids lourd
192VYVC,483361,Maintenir la propreté du véhicule
192VYVC,300408,"Rédiger un rapport, un compte rendu d'activité"
192VYVC,400661,Respecter le code de la route
192VYVC,484698,Utiliser des équipements de navigation (GPS)
192VGWL,300146,Élaborer des processus et des modes opératoires techniques
192VGWL,300428,Utiliser des logiciels spécifiques
192THWT,125029,Confectionner des pâtisseries
192THWT,126357,Confectionner des viennoiseries
192RYDZ,107662,Accompagner les patients dans les gestes de la vie quotidienne
192RYDZ,107660,"Mesurer les paramètres vitaux du patient/résident, contrôler les dispositifs et appareillages médicaux et transmettre les informations à l'infirmier"
192RYDZ,107661,"Réaliser des soins d'hygiène corporelle, de confort et de prévention"
192RMMR,480277,Planification des visites clients
192RMMR,480276,Présentation de produits techniques
192RMMR,122552,Prospection commerciale
192RMMR,403511,"Conduire les éventuelles négociations commerciales : prix, délais, promotions et conclure la vente (bons de commande, contrats de vente…)"
192RMMR,117243,Établir un devis
192RMMR,102318,"Établir un plan de tournée de prospection (ciblage, interlocuteurs, préparation de dossiers techniques)"
192RMMR,120722,Gérer les agendas et planifier des rendez-vous
192RMMR,403287,"Suivre, animer et développer son portefeuille clients dans le périmètre attitré (géographique, sectoriel…)"
192RHSJ,101738,"Caractéristiques des farines levure, additifs"
192RHSJ,115131,Préparer des repas
192RHSJ,124933,Doser des ingrédients culinaires
192RHSJ,126105,Effectuer le montage et la décoration des produits pâtissiers
192RHSJ,300282,"Entretenir, nettoyer un espace, un lieu, un local"
192QKXM,101718,Techniques de désossage
192QKXM,101719,Techniques de parage des viandes
192QKXM,118018,"Découper, désosser, parer de la viande"
192PMCW,107814,Analyser le contexte de vie d'une personne
192PMCW,107815,"Déterminer le besoin en accompagnement psychologique, arrêter les modalités avec la personne ou l'orienter vers un médecin, service social, personnel paramédical"
192PMCW,300041,Réaliser un accompagnement psychologique
192PMCL,107814,Analyser le contexte de vie d'une personne
192PMCL,107815,"Déterminer le besoin en accompagnement psychologique, arrêter les modalités avec la personne ou l'orienter vers un médecin, service social, personnel paramédical"
192PMCL,300041,Réaliser un accompagnement psychologique
192PKBF,300488,Concevoir et gérer un projet
192PKBF,109797,Définir la stratégie des systèmes d'informations
192PKBF,300197,"Élaborer un schéma directeur technique, définir des besoins en équipement"
192PKBF,109800,"Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation"
192PJHX,121417,Méthodes de plan de prospection
192PJHX,300014,"Conseiller, accompagner une personne"
192PJHX,120526,Mettre en place des actions de prospection
192PJHX,300374,Présenter et valoriser un produit ou un service
192PJHX,300366,Recueillir et analyser les besoins client
192PDKV,117629,Modalités d'approvisionnement d'une ligne de production
192PDKV,100017,Règles de sécurité
192PDKV,300174,"Élaborer et planifier un programme de production, d'exploitation"
192PDKV,300261,Organiser et contrôler un approvisionnement
192NCMN,100359,Règles d'hygiène et de sécurité alimentaire
192NCMN,101718,Techniques de désossage
192NCMN,101719,Techniques de parage des viandes
192NCMN,101782,Modes de cuisson des aliments
192NCMN,101848,Types de produits de charcuterie
192NCMN,119438,Types de viande
192NCMN,119441,Types de spécialités bouchères
